index,Timestamp,group,sex,age,experience,category,cloud,language,framework,sourceControl,useTesters,useCI,stackoverflow,githubStars,jobType,workType,workingLanguage,employer,placement,revenuePlace,satisfied,hoursPerMonth,deservedSalary,pandemicInfluence,unarebiResults,gpa,education,workstationType,workstation,computerModel,ram,memoryType,memorySize,averageMonthlyRevenue
15,10/8/2020 0:51:19,JavaScript Georgia,male,15-17,don't have,Front End Developer,don't use,Javascript,neither,don't use,no,don't use,don't have account,don't have account,not employed,no answer,georgian,no answer,georgia,georgia,no answer,no answer,2k-3k,no influence,not yet high education,no answer,just school,Desktop computer,"PC ",PC,8 gb,"both (SSD, HDD)",256 gb,no answer
16,10/7/2020 21:45:48,JavaScript Georgia,male,24-26,4-6 years,Full Stack Developer,AWS,TypeScript,React,Git,no,Circle CI,100-200,10-20,not employed,Office - Local Projects,english,information technologies,georgia,georgia,yes,160-240,4k-5k,"yes, increased",80-90 %,3-3.5,finished -  bachelor,laptop,Macbook Pro,Macbook,32 gb,SSD  (fast),1 tb,4k-5k
17,10/8/2020 10:59:24,Linkedin,male,27-29,1-2 years,ML Engineer,AWS,Python,neither,Git,no,Travis,2000-5000,10-20,Both (Full time + Part Time),no answer,english,information technologies,georgia,georgia,yes,240-300,7k-10k,"yes, increased",50-60 %,2.5-3,studying - PHD,laptop,"Acer ",Acer,8 gb,SSD  (fast),256 gb,3k-4k
18,10/8/2020 11:19:15,Facebook,male,18-20,don't have,Mobile Apps Developer,don't use,neither,neither,don't use,no,don't use,0-10,20-50,not employed,no answer,georgian,no answer,georgia,georgia,no answer,no answer,no answer,no influence,not yet high education,no answer,no answer,laptop,"Acer ",Acer,4 gb,HDD (slow),512 gb,no answer
19,10/7/2020 21:55:20,"Group - ""Remote Work - Georgian Community"" ",male,24-26,4-6 years,Back End Developer,AWS,C#,.NET Core,Git,yes,Jenkins,700-1000,10-20,Full Time,Remote  - Local Projects,no answer,information technologies,georgia,georgia,yes,160-200,15k-20k,no influence,70-80 %,2.5-3,studying - PHD,laptop,Macbook Pro,Macbook,16 gb,SSD  (fast),512 gb,7k-10k
20,10/7/2020 21:59:26,"Group - ""Remote Work - Georgian Community"" ",male,24-26,4-6 years,Support Specialist,don't use,neither,neither,don't use,no,don't use,don't have account,0-10,Both (Full time + Part Time),Office - Local Projects,georgian,government org,georgia,georgia,yes,0-40,1000-1500,no influence,50-60 %,3-3.5,studying - PHD,laptop,Surface Pro,Surface,32 gb,SSD  (fast),512 gb,no answer
21,10/7/2020 22:02:23,JavaScript Georgia,male,18-20,0-1 years,Full Stack Developer,AWS,Javascript,React,Git,no,don't use,0-10,0-10,Full Time,Office - Local Projects,georgian,finances,georgia,georgia,no,0-40,4k-5k,no influence,80-90 %,2.5-3,studying -  bachelor,laptop,Macbook Pro,Macbook,16 gb,SSD  (fast),1 tb,2k-3k
22,10/7/2020 22:05:15,"Group - ""Remote Work - Georgian Community"" ",male,24-26,4-6 years,Full Stack Developer,Digital Ocean,Javascript,React,Git,no,Circle CI,don't have account,don't have account,Full Time,Office - Local Projects,georgian,finances,georgia,georgia,yes,160-240,6k-7k,no influence,80-90 %,1-1.5,finished -  bachelor,laptop,Macbook Pro,Macbook,16 gb,SSD  (fast),256 gb,4k-5k
23,10/7/2020 22:06:44,"Group - ""Remote Work - Georgian Community"" ",male,24-26,4-6 years,Front End Developer,don't use,Javascript,React,Git,no,don't use,0-10,0-10,Full Time,Remote  - International Projects,english,information technologies,georgia,Australia,yes,0-40,3k-4k,no influence,70-80 %,1.5-2,finished -  bachelor,laptop,"Macbook Air ",Macbook,4 gb,HDD (slow),128 gb,7k-10k
24,10/7/2020 22:10:52,"Group - ""Remote Work - Georgian Community"" ",male,27-29,4-6 years,Back End Developer,don't use,Java,Spring,Git,yes,Jenkins,10-100,0-10,Full Time,Remote  - International Projects,english,medical,georgia,georgia,no answer,160-200,10k-15k,no influence,80-90 %,2.5-3,finished - master,laptop,no answer,no answer,16 gb,SSD  (fast),1 tb,7k-10k
25,10/7/2020 22:11:17,Linkedin,male,27-29,1-2 years,Full Stack Developer,don't use,C#,.NET Core,Git,no,don't use,0-10,0-10,Full Time,Remote  - International Projects,english,gambling,georgia,finland,yes,100-160,2k-3k,"yes, decreased",90 - 100 %,1-1.5,finished -  bachelor,laptop,HP Pavilion,HP,16 gb,"both (SSD, HDD)",256 gb,1000-1499
26,10/7/2020 22:13:00,Linkedin,male,24-26,0-1 years,Back End Developer,AZURE,C#,.NET Core,TFS,yes,Azure Devops,100-200,0-10,Full Time,Remote  - Local Projects,georgian,finances,georgia,georgia,yes,160-240,1500-2000,no influence,50-60 %,1.5-2,finished -  bachelor,laptop,HP Pavilion,HP,8 gb,SSD  (fast),256 gb,500-999
27,10/7/2020 22:20:01,Linkedin,male,21-23,0-1 years,Front End Developer,don't use,Javascript,React,Git,no,don't use,0-10,0-10,Part Time,Remote  - Local Projects,georgian,medical,georgia,georgia,yes,40-100,1500-2000,"yes, decreased",60-70 %,3-3.5,studying - master,laptop,Acer Aspire,Acer,16 gb,SSD  (fast),512 gb,500-999
28,10/7/2020 22:22:30,friend,male,24-26,4-6 years,no answer,no answer,Python,neither,don't use,no,don't use,don't have account,don't have account,Both (Full time + Part Time),no answer,english,no answer,georgia,georgia,yes,160-200,1000-1500,"yes, decreased",70-80 %,3.7-3.8,finished -  bachelor,Desktop computer,no answer,no answer,4 gb,HDD (slow),512 gb,3k-4k
29,10/7/2020 22:28:55,"Group - ""Remote Work - Georgian Community"" ",male,24-26,2-4 years,Front End Developer,don't use,Javascript,React,Git,no,Jenkins,0-10,10-20,Both (Full time + Part Time),Office -  International Projects,georgian,information technologies,georgia,georgia,no,160-200,4k-5k,no influence,80-90 %,1.5-2,studying -  bachelor,Desktop computer,Macbook Pro,Macbook,16 gb,SSD  (fast),256 gb,3k-4k
30,10/7/2020 22:49:57,"Group - ""Georgian Web & Mobile Development Industry"" ",male,15-17,1-2 years,DevOps Engineer,AWS,C/C++,Django,Git,no,Jenkins,100-200,20-50,not employed,Remote  - International Projects,english,information technologies,georgia,united states,yes,0-40,500-1000,no influence,not yet high education,no answer,just school,Desktop computer,Macbook Pro,Macbook,8 gb,SSD  (fast),512 gb,300-499
31,10/8/2020 22:15:37,JavaScript Georgia,male,18-20,2-4 years,System Administrator,AZURE,C/C++,.NET,Git,no,Circle CI,don't have account,1000-3000,Part Time,Office - Local Projects,georgian,medical,georgia,georgia,yes,40-100,1000-1500,"yes, decreased",90 - 100 %,no answer,just school,laptop,"Acer ",Acer,8 gb,SSD  (fast),512 gb,1000-1499
32,10/14/2020 0:38:07,"Group - ""Tech Jobs Georgia""",male,18-20,0-1 years,Front End Developer,Google Cloud Platform,Javascript,React,Git,yes,Circle CI,don't have account,don't have account,Both (Full time + Part Time),Remote  - International Projects,english,information technologies,georgia,united states,yes,240-300,no answer,"yes, increased",70-80 %,0-0.5,studying -  bachelor,laptop,no answer,no answer,16 gb,SSD  (fast),512 gb,no answer
33,10/7/2020 22:48:15,Linkedin,male,24-26,2-4 years,Back End Developer,AWS,C#,.NET Core,Git,yes,don't use,don't have account,0-10,Both (Full time + Part Time),no answer,english,finances,georgia,georgia,yes,160-200,7k-10k,"yes, increased",70-80 %,3-3.5,finished -  bachelor,laptop,no answer,no answer,8 gb,"both (SSD, HDD)",1 tb,6k-7k
34,10/7/2020 23:15:00,"Group - ""Georgian Web & Mobile Development Industry"" ",male,0-14,0-1 years,Front End Developer,don't use,Javascript,neither,don't use,no,don't use,10-100,0-10,not employed,Remote  - Local Projects,georgian,information technologies,georgia,georgia,no,0-40,500-1000,no influence,not yet high education,no answer,just school,Desktop computer,no answer,no answer,4 gb,SSD  (fast),512 gb,300-499
35,10/7/2020 22:52:29,friend,male,24-26,6-9 years,Front End Developer,don't use,TypeScript,Angular,Git,yes,Jenkins,400-700,0-10,no answer,Office -  International Projects,english,gambling,georgia,georgia,so so,160-240,15k-20k,no influence,80-90 %,1.5-2,studying - master,laptop,Macbook Pro,Macbook,16 gb,SSD  (fast),256 gb,7k-10k
36,10/7/2020 22:54:10,"Group - ""Georgian Web & Mobile Development Industry"" ",male,24-26,6-9 years,Full Stack Developer,AWS,Javascript,Angular,Git,no,Jenkins,10-100,0-10,Full Time,Office -  International Projects,georgian,information technologies,georgia,georgia,yes,160-240,7k-10k,no influence,80-90 %,2-2.5,studying - master,Desktop computer,Macbook Pro,Macbook,32 gb,SSD  (fast),1 tb,6k-7k
37,10/7/2020 22:54:28,"Group - ""Georgian Web & Mobile Development Industry"" ",male,18-20,0-1 years,QA Engineer,AWS,Python,neither,Git,no answer,no answer,no answer,no answer,Both (Full time + Part Time),Office - Local Projects,georgian,finances,georgia,georgia,yes,160-240,3k-4k,"yes, increased",80-90 %,2.5-3,studying -  bachelor,both,Macbook Pro,Macbook,16 gb,SSD  (fast),256 gb,3k-4k
38,10/7/2020 23:05:51,"Group - ""Georgian Web & Mobile Development Industry"" ",male,21-23,2-4 years,Back End Developer,AZURE,C#,.NET,TFS,no,don't use,200-400,0-10,Full Time,Office -  International Projects,english,information technologies,georgia,georgia,yes,160-200,2k-3k,no influence,70-80 %,1-1.5,bachelor dropout,Desktop computer,Lenovo Thinkpad,Lenovo,16 gb,"both (SSD, HDD)",512 gb,10k-15k
39,10/10/2020 14:33:08,friend,female,24-26,1-2 years,Data Scientist,don't use,C/C++,neither,Git,no,don't use,don't have account,don't have account,Both (Full time + Part Time),Office -  International Projects,georgian,information technologies,georgia,georgia,yes,40-100,2k-3k,"yes, decreased",90 - 100 %,3-3.5,studying - PHD,laptop,"Acer ",Acer,8 gb,SSD  (fast),512 gb,2k-3k
40,10/7/2020 22:58:31,"Group - ""Georgian Web & Mobile Development Industry"" ",male,27-29,6-9 years,Full Stack Developer,AWS,Java,Spring,Git,yes,Jenkins,no answer,no answer,Full Time,Office - Local Projects,georgian,finances,georgia,georgia,yes,160-200,10k-15k,no influence,90 - 100 %,3-3.5,finished -  bachelor,no answer,no answer,no answer,16 gb,SSD  (fast),1 tb,7k-10k
41,10/7/2020 22:58:53,"Group - ""Georgian Web & Mobile Development Industry"" ",male,27-29,6-9 years,Back End Developer,don't use,C#,.NET Core,TFS,yes,don't use,0-10,no answer,Full Time,Office - Local Projects,georgian,finances,georgia,georgia,yes,100-160,4k-5k,no influence,70-80 %,3-3.5,finished - master,Desktop computer,no answer,no answer,8 gb,SSD  (fast),512 gb,3k-4k
42,10/10/2020 19:13:11,friend,male,21-23,2-4 years,Full Stack Developer,Google Cloud Platform,Python,neither,Git,no,Gitlab CI,10-100,0-10,Full Time,Remote  - International Projects,english,information technologies,georgia,united states,yes,160-200,15k-20k,"yes, decreased",90 - 100 %,3.5-3.7,finished -  bachelor,laptop,Asus ROG,Asus,16 gb,SSD  (fast),512 gb,10k-15k
43,10/12/2020 12:22:18,JavaScript Georgia,male,27-29,0-1 years,Front End Developer,don't use,Javascript,Angular,Git,no,don't use,don't have account,0-10,Part Time,Remote  - Local Projects,georgian,no answer,georgia,georgia,no,40-100,1000-1500,"yes, decreased",80-90 %,2-2.5,finished - master,laptop,"Acer ",Acer,4 gb,HDD (slow),128 gb,0-299
44,10/12/2020 23:55:25,JavaScript Georgia,male,30-34,6-9 years,Support Specialist,don't use,C#,.NET,Git,no,Jenkins,10-100,50-100,not employed,Office - Local Projects,georgian,information technologies,georgia,georgia,no,160-200,1500-2000,no influence,50-60 %,3.7-3.8,finished -  bachelor,Desktop computer,"Acer ",Acer,8 gb,"both (SSD, HDD)",256 gb,1000-1499
45,10/13/2020 19:44:53,Sysadmins GE,male,21-23,2-4 years,Support Specialist,don't use,no answer,no answer,no answer,no answer,no answer,no answer,no answer,Full Time,Office - Local Projects,georgian,government org,georgia,georgia,yes,100-160,1500-2000,no influence,80-90 %,no answer,bachelor dropout,laptop,"Acer ",Acer,16 gb,SSD  (fast),512 gb,500-999
46,10/7/2020 23:04:25,Linkedin,male,27-29,2-4 years,Project Manager,don't use,C/C++,neither,Internal,yes,don't use,don't have account,don't have account,Full Time,Office - Local Projects,english,no answer,no answer,germany,yes,160-200,7k-10k,no answer,70-80 %,1.5-2,studying - master,laptop,no answer,no answer,8 gb,SSD  (fast),256 gb,6k-7k
47,10/7/2020 23:04:44,"Group - ""Georgian Web & Mobile Development Industry"" ",male,24-26,2-4 years,Full Stack Developer,don't use,C#,.NET Core,Git,no,don't use,0-10,0-10,Full Time,Office - Local Projects,georgian,government org,georgia,georgia,yes,100-160,2k-3k,no influence,80-90 %,3.8-3.9,studying - master,Desktop computer,Lenovo Ideapad,Lenovo,8 gb,SSD  (fast),256 gb,1500-1999
48,10/8/2020 12:45:28,"Group - ""Georgian Web & Mobile Development Industry"" ",male,21-23,4-6 years,DevOps Engineer,AWS,Javascript,neither,Git,yes,Github Actions,0-10,0-10,Full Time,Remote  - International Projects,english,information technologies,georgia,united states,yes,160-200,20k-30k,"yes, increased",80-90 %,1-1.5,studying -  bachelor,laptop,Macbook Pro,Macbook,8 gb,SSD  (fast),256 gb,10k-15k
49,10/7/2020 23:08:31,"Group - ""Georgian Web & Mobile Development Industry"" ",male,27-29,2-4 years,Full Stack Developer,Digital Ocean,PHP,Laravel,Git,no,Jenkins,don't have account,0-10,Full Time,Office -  International Projects,georgian,finances,georgia,georgia,no,100-160,3k-4k,no influence,80-90 %,3-3.5,finished -  bachelor,laptop,Macbook Pro,Macbook,8 gb,SSD  (fast),256 gb,2k-3k
50,10/7/2020 23:10:55,friend,male,18-20,0-1 years,Front End Developer,Google Cloud Platform,Javascript,React,Git,yes,Jenkins,don't have account,0-10,Full Time,Remote  - Local Projects,georgian,information technologies,georgia,georgia,no,160-200,7k-10k,no influence,70-80 %,3.5-3.7,just school,Desktop computer,no answer,no answer,16 gb,SSD  (fast),512 gb,1500-1999
51,10/7/2020 23:12:53,"Group - ""Georgian Web & Mobile Development Industry"" ",male,27-29,9-12 years,Full Stack Developer,AWS,PHP,no answer,Git,no,don't use,1000-2000,100-500,no answer,Office -  International Projects,english,information technologies,georgia,georgia,yes,160-240,10k-15k,no influence,80-90 %,3.8-3.9,finished -  bachelor,laptop,no answer,no answer,16 gb,SSD  (fast),no answer,6k-7k
52,10/8/2020 1:46:24,"Group - ""Georgian Web & Mobile Development Industry"" ",male,21-23,0-1 years,Full Stack Developer,Google Cloud Platform,Javascript,no answer,Git,no answer,no answer,don't have account,no answer,not employed,Office - Local Projects,georgian,information technologies,georgia,georgia,no answer,40-100,500-1000,no answer,40-50 %,3.8-3.9,finished -  bachelor,laptop,"Acer ",Acer,8 gb,SSD  (fast),512 gb,300-499
53,10/7/2020 23:15:03,"Group - ""Georgian Web & Mobile Development Industry"" ",male,24-26,1-2 years,Front End Developer,don't use,Javascript,Angular,Git,no,don't use,10-100,0-10,Full Time,Remote  - Local Projects,georgian,government org,georgia,georgia,yes,160-200,2k-3k,"yes, decreased",80-90 %,2.5-3,studying - master,Desktop computer,no answer,no answer,8 gb,HDD (slow),1 tb,2k-3k
54,10/7/2020 23:15:27,"Group - ""Georgian Web & Mobile Development Industry"" ",male,21-23,2-4 years,Front End Developer,don't use,TypeScript,React,Git,yes,Jenkins,don't have account,0-10,Full Time,Office - Local Projects,georgian,information technologies,georgia,georgia,yes,160-240,4k-5k,no influence,80-90 %,2.5-3,studying -  bachelor,Desktop computer,no answer,no answer,16 gb,SSD  (fast),256 gb,2k-3k
55,10/7/2020 23:16:05,"Group - ""Remote Work - Georgian Community"" ",male,27-29,4-6 years,Back End Developer,don't use,Java,Spring,Git,yes,Jenkins,0-10,0-10,Full Time,Office - Local Projects,georgian,finances,georgia,georgia,yes,400+,5k-6k,no influence,80-90 %,1-1.5,finished -  bachelor,laptop,no answer,no answer,8 gb,SSD  (fast),512 gb,4k-5k
56,10/7/2020 23:18:51,"Group - ""Remote Work - Georgian Community"" ",male,24-26,4-6 years,Back End Developer,Digital Ocean,PHP,Laravel,Git,no,don't use,don't have account,don't have account,Both (Full time + Part Time),Remote  - International Projects,georgian,non governmental org,georgia,georgia,yes,40-100,4k-5k,no influence,70-80 %,1.5-2,finished - master,laptop,no answer,no answer,8 gb,SSD  (fast),128 gb,3k-4k
57,10/7/2020 23:25:16,"Group - ""Remote Work - Georgian Community"" ",male,27-29,4-6 years,Back End Developer,Digital Ocean,Ruby,Rails,Git,yes,don't use,400-700,10-20,Full Time,Office - Local Projects,georgian,medical,georgia,georgia,no,160-200,4k-5k,no influence,50-60 %,2.5-3,finished -  bachelor,laptop,no answer,no answer,16 gb,SSD  (fast),512 gb,3k-4k
58,10/14/2020 9:35:51,JavaScript Georgia,female,21-23,1-2 years,Back End Developer,Digital Ocean,PHP,Laravel,Git,yes,don't use,don't have account,0-10,Full Time,Remote  - International Projects,english,information technologies,georgia,georgia,yes,160-200,2k-3k,no influence,80-90 %,no answer,finished -  bachelor,laptop,"Acer ",Acer,16 gb,SSD  (fast),512 gb,1500-1999
59,10/7/2020 23:27:42,"Group - ""Georgian Web & Mobile Development Industry"" ",male,18-20,2-4 years,Full Stack Developer,AWS,Javascript,Angular,Git,no,tfs,0-10,0-10,Full Time,Office - Local Projects,georgian,finances,georgia,georgia,no,160-200,6k-7k,no influence,70-80 %,2.5-3,studying -  bachelor,laptop,no answer,no answer,16 gb,HDD (slow),512 gb,1500-1999
60,10/7/2020 23:27:54,"Group - ""Georgian Web & Mobile Development Industry"" ",male,24-26,2-4 years,Full Stack Developer,Digital Ocean,PHP,Laravel,Git,no,don't use,100-200,0-10,Full Time,Remote  - International Projects,georgian,information technologies,georgia,georgia,no,160-200,3k-4k,"yes, decreased",50-60 %,0-0.5,bachelor dropout,laptop,Dell Vostro,Dell,8 gb,SSD  (fast),512 gb,3k-4k
61,10/7/2020 23:32:25,"Group - ""Georgian Web & Mobile Development Industry"" ",female,35-39,15-20 years,Business Analyst,don't use,neither,neither,don't use,no,don't use,don't have account,don't have account,Full Time,Office - Local Projects,georgian,information technologies,georgia,georgia,no,240-300,15k-20k,no influence,not yet high education,4,studying - PHD,laptop,Asus ZenBook,Asus,8 gb,SSD  (fast),256 gb,6k-7k
62,10/7/2020 23:38:56,"Group - ""Georgian Web & Mobile Development Industry"" ",male,18-20,2-4 years,Front End Developer,Digital Ocean,Javascript,Vue,Git,no,don't use,0-10,0-10,Full Time,Office -  International Projects,english,information technologies,georgia,France,no,100-160,1000-1500,no influence,no answer,no answer,studying -  bachelor,laptop,Lenovo Ideapad,Lenovo,8 gb,SSD  (fast),256 gb,500-999
63,10/7/2020 23:39:34,"Group - ""Georgian Web & Mobile Development Industry"" ",male,21-23,1-2 years,Mobile Apps Developer,AWS,Kotlin,neither,Git,yes,don't use,0-10,0-10,Full Time,Office - Local Projects,georgian,finances,georgia,georgia,yes,160-200,1500-2000,"yes, decreased",60-70 %,2-2.5,studying - master,laptop,Dell Latitude,Dell,16 gb,SSD  (fast),512 gb,1000-1499
64,10/7/2020 23:41:07,"Group - ""Remote Work - Georgian Community"" ",male,27-29,2-4 years,Front End Developer,Digital Ocean,Javascript,React,Git,yes,Teamcity,0-10,0-10,Full Time,Office -  International Projects,georgian,information technologies,georgia,georgia,yes,0-40,4k-5k,"yes, decreased",80-90 %,2.5-3,finished -  bachelor,Desktop computer,no answer,no answer,16 gb,SSD  (fast),512 gb,3k-4k
65,10/7/2020 23:41:42,"Group - ""Georgian Web & Mobile Development Industry"" ",female,21-23,don't have,Front End Developer,don't use,Javascript,neither,don't use,no,no answer,don't have account,0-10,not employed,no answer,georgian,no answer,georgia,georgia,no answer,no answer,300-500,no influence,80-90 %,2.5-3,studying - master,laptop,Lenovo Ideapad,Lenovo,4 gb,SSD  (fast),256 gb,no answer
66,10/7/2020 23:42:00,"Group - ""Georgian Web & Mobile Development Industry"" ",male,18-20,0-1 years,Front End Developer,don't use,Javascript,React,Git,no,don't use,don't have account,0-10,Full Time,Office - Local Projects,georgian,information technologies,georgia,georgia,yes,100-160,1000-1500,no influence,80-90 %,3-3.5,studying -  bachelor,Desktop computer,no answer,no answer,16 gb,SSD  (fast),512 gb,1000-1499
67,10/7/2020 23:44:57,"Group - ""Georgian Web & Mobile Development Industry"" ",male,24-26,4-6 years,Business Analyst,Digital Ocean,Python,Flask,Git,no,don't use,200-400,0-10,Both (Full time + Part Time),Office - Local Projects,georgian,sales,georgia,georgia,no,160-240,3k-4k,"yes, increased",80-90 %,2-2.5,studying - master,laptop,Lenovo Ideapad,Lenovo,8 gb,SSD  (fast),256 gb,2k-3k
68,10/7/2020 23:46:39,"Group - ""Georgian Web & Mobile Development Industry"" ",male,18-20,0-1 years,ML Engineer,don't use,Python,neither,Git,no,don't use,0-10,0-10,Full Time,Office - Local Projects,georgian,information technologies,georgia,georgia,yes,300-400,0-300,"yes, increased",80-90 %,2.5-3,studying -  bachelor,laptop,no answer,no answer,8 gb,SSD  (fast),256 gb,500-999
69,10/7/2020 23:56:00,"Group - ""Georgian Web & Mobile Development Industry"" ",male,27-29,6-9 years,Front End Developer,AWS,TypeScript,Angular,Git,yes,Bitbucket pipelines,don't have account,0-10,Full Time,Office -  International Projects,georgian,information technologies,georgia,germany,yes,100-160,7k-10k,no influence,80-90 %,3-3.5,finished -  bachelor,Desktop computer,Lenovo Thinkvision,Lenovo,16 gb,SSD  (fast),1 tb,6k-7k
70,10/14/2020 12:45:34,"Group - ""Georgian Web & Mobile Development Industry"" ",male,40-44,15-20 years,Full Stack Developer,Digital Ocean,Javascript,Angular,don't use,no,don't use,0-10,0-10,Part Time,Remote  - Local Projects,georgian,information technologies,georgia,georgia,no,160-200,3k-4k,"yes, decreased",80-90 %,3.8-3.9,finished - master,laptop,"Acer ",Acer,8 gb,HDD (slow),1 tb,2k-3k
71,10/8/2020 8:33:23,JavaScript Georgia,male,0-14,don't have,Full Stack Developer,no answer,Javascript,React,Git,no,no answer,don't have account,100-500,not employed,no answer,english,no answer,georgia,France,no answer,0-40,1500-2000,no influence,not yet high education,no answer,just school,laptop,"Alienwre ",Alienwre,16 gb,SSD  (fast),256 gb,no answer
